surr_id,incident_id,quarter,school,city,state,school_level,location,situation,targets,barricade,officer_involved,bullied,domestic_violence,gang_related,preplanned,shots_fired,active_shooter_fbi,first_shot
431,19911015NHMOS,Fall,Monadnock Regional High School,Swanzey,NH,High,Hallway,Anger Over Grade/Suspension/Discipline,Random Shooting,Yes,No,No,Unknown,No,Yes,1,Yes,Unknown
432,19911015SCWOW,Fall,Woodruff High School,Woodruff,SC,High,Hallway,Bullying,Victims Targeted,No,No,Yes,No,No,No,5,Unknown,12:30:00
433,19911015TXGEP,Fall,Genevieve Sparks Elementary School,PasadeUnknown,TX,Elementary,Field (General),Accidental,Random Shooting,No,No,No,No,No,No,1,Unknown,13:15:00
434,19911023TXOAD,Fall,Oak Cliff High School,Dallas,TX,High,Hallway,Bullying,Victims Targeted,No,No,Yes,No,No,No,1,Unknown,7:45:00
435,19911106LAWAN,Fall,Walter L. Cohen Senior High School,New Orleans,LA,High,Parking Lot,Drive-by Shooting,Victims Targeted,No,No,No,No,No,No,5,Unknown,15:30:00
436,19911111TXYSE,Fall,Ysleta High School,El Paso,TX,High,Front of School,Drive-by Shooting,Unknown,No,No,No,No,Yes,No,9,Unknown,Unknown
437,19911114TXMIH,Fall,Milby High School,Houston,TX,High,Hallway,Escalation of Dispute,Unknown,No,No,Unknown,No,No,No,10,Unknown,0:00:00
438,19911125NYTHB,Fall,Thomas Jefferson High School,Brooklyn,NY,High,Hallway,Escalation of Dispute,Both,No,No,No,No,No,No,3,Unknown,10:30:00
439,19911226NCWHW,Winter,Whiteville High School,Whiteville,NC,High,Beside Building,Escalation of Dispute,Victims Targeted,No,No,No,No,Unknown,No,10,Unknown,Unknown
440,19920117SCGRG,Winter,Greenwood High School,Greenwood,SC,High,Cafeteria,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,2,No,12:00:00
441,19920128LAFRG,Winter,Francis W. Gregory Junior High School,Gentilly,LA,Junior High,Beside Building,Illegal Activity,Victims Targeted,No,No,No,No,No,No,1,Unknown,Unknown
442,19920131LAFRG,Winter,Francis W. Gregory Junior High School,Gentilly,LA,Junior High,Hallway,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,7,Unknown,13:30:00
443,19920206OKDOO,Winter,Douglass High School,Oklahoma City,OK,High,Inside School Building,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,Unknown,14:20:00
444,19920207VABON,Winter,Booker T. Washington High School,Norfolk,VA,High,Beside Building,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,16,Unknown,12:47:00
445,19920226NYTHB,Winter,Thomas Jefferson High School,Brooklyn,NY,High,Hallway,Escalation of Dispute,Victims Targeted,No,No,Unknown,No,No,No,1,Unknown,8:40:00
446,19920305OHHAO,Spring,Hamilton Middle School,Obetz,OH,Middle,Cafeteria,Escalation of Dispute,Victims Targeted,No,No,Unknown,No,No,No,5,Unknown,Unknown
447,19920331LAOPA,Spring,O Perry Walker High School,Algiers,LA,High,Hallway,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,1,Unknown,8:15:00
448,19920409FLFOF,Spring,Fort Myers High School,Fort Myers,FL,High,Field (General),Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,2,Unknown,9:15:00
449,19920417TXLID,Spring,Lincoln High School,Dallas,TX,High,Parking Lot,Accidental,Random Shooting,No,No,No,No,No,No,9,Unknown,Unknown
